target_id,p_joint,p_1d,p_2d,disagreement_1d,disagreement_2d
8292840,0.13570434,2.2289358e-13,1.0,0.13570434,0.86429566
7825899,0.050453328,7.145027e-09,1.0,0.05045332,0.9495467
5966322,0.17899731,6.425984e-11,1.0,0.17899731,0.8210027
7375348,0.097015284,7.445434e-11,1.0,0.097015284,0.90298474
12020218,0.16153903,3.096941e-07,1.0,0.16153872,0.838461
6932987,0.10302403,2.4317242e-09,0.9999998,0.10302403,0.8969758
3559935,0.16742358,4.8376476e-09,0.99999714,0.16742358,0.83257353
5880320,0.09907805,0.13691159,0.99999666,0.037833534,0.9009186
8630788,0.15083499,7.3270674e-11,0.99999976,0.15083499,0.8491648
12116489,0.1556532,2.4991468e-14,0.99999726,0.1556532,0.8443441
9406990,0.12040237,7.768667e-11,1.0,0.12040237,0.8795976
8583696,0.18794973,0.9940898,1.0,0.80614007,0.8120503
8008206,0.18705188,6.2999246e-12,0.9993109,0.18705188,0.812259
4454934,0.12641428,0.07321046,1.0,0.05320382,0.8735857
6347299,0.1479489,1.9856203e-09,0.9999986,0.1479489,0.8520497
11401767,0.08341673,4.7821273e-20,1.0,0.08341673,0.9165833
7455287,0.09779729,2.4920299e-05,1.0,0.09777237,0.9022027
12470844,0.14786467,1.8009585e-09,1.0,0.14786467,0.8521353
9466429,0.14903231,9.268471e-10,0.99999964,0.14903231,0.85096735
8505920,0.096022,0.00074135285,1.0,0.09528065,0.903978
8424002,0.10282858,4.74274e-09,1.0,0.10282857,0.89717144
9701962,0.124837734,0.56319964,0.99999994,0.4383619,0.8751622
5794379,0.14068884,3.162763e-10,0.9999994,0.14068884,0.85931057
8561231,0.13460642,1.3092653e-08,1.0,0.1346064,0.8653936
8745553,0.23230009,1.3641308e-07,1.0,0.23229995,0.7676999
2302548,0.046099864,1.8350836e-05,1.0,0.046081513,0.95390016
7690844,0.08650753,0.99999946,1.0,0.91349196,0.91349244
7522911,0.11481337,5.0231765e-09,1.0,0.114813365,0.8851866
6541920,0.11210846,7.772658e-06,1.0,0.11210069,0.88789153
11760231,0.119924955,3.135623e-07,1.0,0.11992464,0.88007504
11442793,0.057613183,7.6296543e-13,1.0,0.057613183,0.9423868
9896558,0.19060948,0.001807344,1.0,0.18880214,0.80939054
7131760,0.11663818,7.943402e-08,0.99839175,0.1166381,0.88175356
7219825,0.16455425,0.0005481353,1.0,0.16400611,0.83544576
9011825,0.051320095,6.126287e-09,1.0,0.051320087,0.9486799
9650808,0.26631388,0.025153339,0.998192,0.24116054,0.73187816
7119481,0.11152733,0.00013344864,1.0,0.111393884,0.8884727
7434875,0.15591387,3.108404e-07,0.99612993,0.15591356,0.84021604
6587002,0.1631052,1.662315e-11,0.9999997,0.1631052,0.8368945
6707835,0.041356947,1.1581235e-15,1.0,0.041356947,0.9586431
9085563,0.3163871,1.0,1.0,0.68361294,0.68361294
9349757,0.13669105,4.80556e-17,0.9985287,0.13669105,0.8618377
8219268,0.030512022,9.4934247e-14,1.0,0.030512022,0.96948797
3859079,0.15843783,1.6272135e-05,1.0,0.15842156,0.84156215
9663113,0.10027551,6.933348e-05,1.0,0.100206174,0.8997245
7373451,0.11740885,1.1652238e-13,1.0,0.11740885,0.8825911
7047824,0.088766016,0.6280822,0.9999999,0.5393162,0.91123384
5438099,0.0916043,1.0,1.0,0.9083957,0.9083957
9886361,0.08895472,1.7595886e-20,1.0,0.08895472,0.9110453
3832474,0.018292343,2.731193e-10,1.0,0.018292343,0.98170763
4815520,0.07935124,4.051826e-12,1.0,0.07935124,0.92064875
5358241,0.14899915,0.00023818896,1.0,0.14876096,0.85100085
4545187,0.13660721,0.9547217,1.0,0.81811446,0.8633928
6619815,0.18181747,0.9999916,1.0,0.8181741,0.8181825
7951018,0.16535486,4.458897e-08,0.9963218,0.16535482,0.83096695
4178606,0.111819476,1.4472205e-10,1.0,0.111819476,0.8881805
8110767,0.13601726,3.168425e-11,0.00016202248,0.13601726,0.13585524
