kepid,kepoi_name,koi_disposition
8950853,K01412.01,CONFIRMED
9006449,K01413.01,CONFIRMED
9006449,K01413.02,CONFIRMED
9006449,K01413.03,CONFIRMED
4043190,K01220.01,CONFIRMED
3640905,K01221.01,CONFIRMED
3640905,K01221.02,CONFIRMED
10790387,K01288.01,CONFIRMED
7303287,K01353.01,CONFIRMED
7303287,K01353.02,CONFIRMED
11512246,K00168.01,CONFIRMED
11517719,K01416.01,CONFIRMED
12252424,K00153.02,CONFIRMED
10874614,K00017.01,CONFIRMED
6541920,K00157.03,CONFIRMED
7211141,K01355.01,CONFIRMED
7376983,K01358.01,CONFIRMED
5084942,K00161.01,CONFIRMED
11497958,K01422.01,CONFIRMED
11497958,K01422.02,CONFIRMED
11512246,K00168.02,CONFIRMED
10604335,K01298.01,CONFIRMED
10604335,K01298.02,CONFIRMED
10864656,K01299.01,CONFIRMED
10975146,K01300.01,CONFIRMED
10538176,K01301.01,CONFIRMED
7376983,K01358.02,CONFIRMED
7376983,K01358.03,CONFIRMED
7376983,K01358.04,CONFIRMED
6946199,K01359.01,CONFIRMED
11497958,K01422.03,CONFIRMED
11177707,K01423.01,CONFIRMED
11611600,K01424.01,CONFIRMED
11254382,K01425.01,CONFIRMED
11122894,K01426.01,CONFIRMED
6677841,K01236.01,CONFIRMED
6677841,K01236.02,CONFIRMED
6677841,K01236.03,CONFIRMED
6383821,K01238.01,CONFIRMED
10538176,K01301.02,CONFIRMED
10724369,K01302.01,CONFIRMED
6541920,K00157.04,CONFIRMED
10744335,K01304.01,CONFIRMED
4860678,K01602.01,CONFIRMED
5177104,K01603.01,CONFIRMED
8230616,K01713.02,CONFIRMED
9836959,K01715.01,CONFIRMED
9838949,K01716.01,CONFIRMED
9895006,K01717.01,CONFIRMED
9896558,K01718.01,CONFIRMED
9589323,K01488.01,CONFIRMED
9823487,K01489.01,CONFIRMED
9726659,K01491.01,CONFIRMED
5371776,K01557.01,CONFIRMED
5371776,K01557.02,CONFIRMED
5371776,K01557.03,CONFIRMED
9573539,K00180.01,CONFIRMED
5371776,K01557.04,CONFIRMED
9886661,K01606.01,CONFIRMED
10055126,K01608.01,CONFIRMED
10055126,K01608.02,CONFIRMED
5009743,K01609.01,CONFIRMED
10015937,K01720.01,CONFIRMED
10019065,K01721.01,CONFIRMED
7950644,K00192.01,CONFIRMED
10080248,K01722.01,CONFIRMED
10213902,K01723.01,CONFIRMED
11821363,K01494.01,CONFIRMED
7629518,K01495.01,CONFIRMED
10810838,K00174.01,CONFIRMED
10963065,K01612.01,CONFIRMED
6268648,K01613.01,CONFIRMED
5357901,K00188.01,CONFIRMED
4278221,K01615.01,CONFIRMED
