kepid,kepoi_name,koi_disposition
8956706,K02431.01,FALSE POSITIVE
5392702,K02510.01,FALSE POSITIVE
8429566,K02511.01,FALSE POSITIVE
8803882,K02659.01,FALSE POSITIVE
6864885,K02434.01,FALSE POSITIVE
5097868,K02435.01,FALSE POSITIVE
4391348,K02514.01,FALSE POSITIVE
12016267,K02590.01,FALSE POSITIVE
5725087,K00033.01,FALSE POSITIVE
11548140,K00256.01,FALSE POSITIVE
12110786,K02665.01,FALSE POSITIVE
3654095,K02667.01,FALSE POSITIVE
5078939,K02438.01,FALSE POSITIVE
4459924,K02441.01,FALSE POSITIVE
5529738,K02518.01,FALSE POSITIVE
3644653,K02596.01,FALSE POSITIVE
10747445,K02673.01,FALSE POSITIVE
3946023,K02447.01,FALSE POSITIVE
9777251,K02600.01,FALSE POSITIVE
6864893,K02375.01,FALSE POSITIVE
6500206,K02451.01,FALSE POSITIVE
5545815,K02452.01,FALSE POSITIVE
3116302,K02526.01,FALSE POSITIVE
7531677,K02601.01,FALSE POSITIVE
9718379,K02379.01,FALSE POSITIVE
4055774,K02381.01,FALSE POSITIVE
6670075,K02382.01,FALSE POSITIVE
11401822,K02454.01,FALSE POSITIVE
6507427,K02455.01,FALSE POSITIVE
5521300,K02456.01,FALSE POSITIVE
10407221,K02605.01,FALSE POSITIVE
5991936,K02606.01,FALSE POSITIVE
6705137,K02609.01,FALSE POSITIVE
8345172,K02385.01,FALSE POSITIVE
4247791,K00028.01,FALSE POSITIVE
10861715,K02537.01,FALSE POSITIVE
8885673,K02611.01,FALSE POSITIVE
5956787,K02616.01,FALSE POSITIVE
3642741,K00242.01,FALSE POSITIVE
12071037,K02388.01,FALSE POSITIVE
9887224,K02464.01,FALSE POSITIVE
7542369,K02465.01,FALSE POSITIVE
7289162,K02539.01,FALSE POSITIVE
3001885,K02540.01,FALSE POSITIVE
6351097,K02618.01,FALSE POSITIVE
9996632,K02621.01,FALSE POSITIVE
4829935,K02395.01,FALSE POSITIVE
6199056,K02398.01,FALSE POSITIVE
9108085,K02470.01,FALSE POSITIVE
5039129,K02546.01,FALSE POSITIVE
10527135,K02622.01,FALSE POSITIVE
9592579,K00243.01,FALSE POSITIVE
8746295,K02475.01,FALSE POSITIVE
10090257,K02476.01,FALSE POSITIVE
10679583,K02549.01,FALSE POSITIVE
10031656,K02629.01,FALSE POSITIVE
10202759,K02405.01,FALSE POSITIVE
5385439,K02478.01,FALSE POSITIVE
4476423,K02481.01,FALSE POSITIVE
3228945,K02917.01,FALSE POSITIVE
7008149,K02918.01,FALSE POSITIVE
6307063,K02702.01,FALSE POSITIVE
3834322,K02763.01,FALSE POSITIVE
11188249,K02765.01,FALSE POSITIVE
4677282,K02766.01,FALSE POSITIVE
5097470,K02767.01,FALSE POSITIVE
4858610,K02844.01,FALSE POSITIVE
4832175,K02846.01,FALSE POSITIVE
4381282,K02922.01,FALSE POSITIVE
9692128,K02769.01,FALSE POSITIVE
8167959,K00267.01,FALSE POSITIVE
4075015,K02850.01,FALSE POSITIVE
3230753,K02928.01,FALSE POSITIVE
8358012,K02929.01,FALSE POSITIVE
4664046,K02930.01,FALSE POSITIVE
4180401,K02709.01,FALSE POSITIVE
6350476,K02710.01,FALSE POSITIVE
11456382,K02771.01,FALSE POSITIVE
3130548,K02773.01,FALSE POSITIVE
9593757,K02774.01,FALSE POSITIVE
4275117,K02776.01,FALSE POSITIVE
6545051,K02777.01,FALSE POSITIVE
5513866,K02854.01,FALSE POSITIVE
3861611,K02932.01,FALSE POSITIVE
5443604,K02713.01,FALSE POSITIVE
8190354,K02781.01,FALSE POSITIVE
7815931,K02861.01,FALSE POSITIVE
8243283,K02952.01,FALSE POSITIVE
4365442,K02787.01,FALSE POSITIVE
3241557,K02863.01,FALSE POSITIVE
3957082,K02864.01,FALSE POSITIVE
5308666,K02718.01,FALSE POSITIVE
5428668,K02794.01,FALSE POSITIVE
5041569,K02795.01,FALSE POSITIVE
9899181,K02867.01,FALSE POSITIVE
9899181,K02867.02,FALSE POSITIVE
4861791,K02870.01,FALSE POSITIVE
6781548,K02944.01,FALSE POSITIVE
5649833,K02799.01,FALSE POSITIVE
10518399,K02800.01,FALSE POSITIVE
7136729,K02872.01,FALSE POSITIVE
6364276,K02873.01,FALSE POSITIVE
5108946,K02955.01,FALSE POSITIVE
10876237,K02960.01,FALSE POSITIVE
5308387,K02724.01,FALSE POSITIVE
6233573,K02725.01,FALSE POSITIVE
10363281,K02726.01,FALSE POSITIVE
4861527,K02727.01,FALSE POSITIVE
5307568,K02804.01,FALSE POSITIVE
8429415,K02965.01,FALSE POSITIVE
5014903,K02966.01,FALSE POSITIVE
8560804,K02969.01,FALSE POSITIVE
4072333,K02731.01,FALSE POSITIVE
3730335,K02808.01,FALSE POSITIVE
7428316,K02809.01,FALSE POSITIVE
10275766,K02810.01,FALSE POSITIVE
10275766,K02810.02,FALSE POSITIVE
6370120,K02811.01,FALSE POSITIVE
5642620,K02882.02,FALSE POSITIVE
9652649,K02884.01,FALSE POSITIVE
11100670,K02885.01,FALSE POSITIVE
5649325,K02676.01,FALSE POSITIVE
9665922,K02815.01,FALSE POSITIVE
3859363,K02887.01,FALSE POSITIVE
12023078,K02888.01,FALSE POSITIVE
6364162,K02889.01,FALSE POSITIVE
11231334,K00258.01,FALSE POSITIVE
2436378,K02682.01,FALSE POSITIVE
6614629,K02737.01,FALSE POSITIVE
6630943,K02738.01,FALSE POSITIVE
3336765,K02740.01,FALSE POSITIVE
4270565,K02819.01,FALSE POSITIVE
10068024,K02891.01,FALSE POSITIVE
9636563,K02892.01,FALSE POSITIVE
5475641,K02895.01,FALSE POSITIVE
2853828,K02896.01,FALSE POSITIVE
4035667,K02684.01,FALSE POSITIVE
9612825,K02685.01,FALSE POSITIVE
5513893,K02741.01,FALSE POSITIVE
10514430,K00263.01,FALSE POSITIVE
10341917,K02823.01,FALSE POSITIVE
3241604,K02824.01,FALSE POSITIVE
9591070,K02825.01,FALSE POSITIVE
8227661,K02826.01,FALSE POSITIVE
5817986,K02897.01,FALSE POSITIVE
5790807,K00259.01,FALSE POSITIVE
5302643,K02746.01,FALSE POSITIVE
8687088,K02749.01,FALSE POSITIVE
9692557,K02831.01,FALSE POSITIVE
9366886,K02901.01,FALSE POSITIVE
3657176,K02903.01,FALSE POSITIVE
9369366,K02905.01,FALSE POSITIVE
