file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,6.32,105.66,,,Super-Jupiter,3-10 days
,1,7.47,189.02,,,Super-Jupiter,3-10 days
,1,1.46,1936.7,,,Super-Jupiter,<3 days
,1,52.91,1.09,,,Earth-sized,30-100 days
,1,81.94,3.46,,,Neptune-sized,30-100 days
,1,1.63,145.37,,,Super-Jupiter,<3 days
,1,12.45,2.62,,,Neptune-sized,10-30 days
,1,29.19,2.84,,,Neptune-sized,10-30 days
,1,67.15,2.23,,,Neptune-sized,30-100 days
,1,13.23,218.27,,,Super-Jupiter,10-30 days
,1,12.12,263.9,,,Super-Jupiter,10-30 days
,1,92.59,1.45,,,Super-Earth,30-100 days
,1,1.21,72.57,,,Super-Jupiter,<3 days
,1,70.41,3.79,,,Neptune-sized,30-100 days
,1,7.45,144.33,,,Super-Jupiter,3-10 days
,1,7.25,241.73,,,Super-Jupiter,3-10 days
,1,13.42,360.39,,,Super-Jupiter,10-30 days
,1,12.23,176.72,,,Super-Jupiter,10-30 days
,1,43.04,5.07,,,Jupiter-sized,30-100 days
,1,23.62,7.02,,,Jupiter-sized,10-30 days
,1,10.44,2.71,,,Neptune-sized,10-30 days
,1,8.95,900.74,,,Super-Jupiter,3-10 days
,1,83.94,1.81,,,Super-Earth,30-100 days
,1,5.32,172.23,,,Super-Jupiter,3-10 days
,1,3.72,783.05,,,Super-Jupiter,3-10 days
,1,11.55,410.41,,,Super-Jupiter,10-30 days
,1,86.79,8.49,,,Jupiter-sized,30-100 days
,1,79.19,7.63,,,Jupiter-sized,30-100 days
,1,14.06,182.67,,,Super-Jupiter,10-30 days
,1,62.31,2.53,,,Neptune-sized,30-100 days
,1,39.47,1.49,,,Super-Earth,30-100 days
,1,4.3,167.75,,,Super-Jupiter,3-10 days
,1,3.43,105.78,,,Super-Jupiter,3-10 days
,1,34.2,6.41,,,Jupiter-sized,30-100 days
,1,7.44,4418.24,,,Super-Jupiter,3-10 days
,1,7.17,4.02,,,Jupiter-sized,3-10 days
,1,8.75,192.7,,,Super-Jupiter,3-10 days
,1,7.6,156.78,,,Super-Jupiter,3-10 days
,1,3.33,139.75,,,Super-Jupiter,3-10 days
,1,7.35,132.2,,,Super-Jupiter,3-10 days
,1,13.15,130.91,,,Super-Jupiter,10-30 days
,1,39.92,1035.17,,,Super-Jupiter,30-100 days
,1,9.08,145.76,,,Super-Jupiter,3-10 days
,1,7.74,288.89,,,Super-Jupiter,3-10 days
,1,4.88,116.1,,,Super-Jupiter,3-10 days
,1,47.54,7.35,,,Jupiter-sized,30-100 days
,1,8.01,9.82,,,Jupiter-sized,3-10 days
,1,10.34,394.89,,,Super-Jupiter,10-30 days
,1,13.31,168.63,,,Super-Jupiter,10-30 days
,1,5.08,262.84,,,Super-Jupiter,3-10 days
,1,9.6,178.13,,,Super-Jupiter,3-10 days
,1,55.49,8.74,,,Jupiter-sized,30-100 days
,1,15.34,7.26,,,Jupiter-sized,10-30 days
,1,85.87,5.71,,,Jupiter-sized,30-100 days
,1,99.26,7.24,,,Jupiter-sized,30-100 days
,1,74.45,2.63,,,Neptune-sized,30-100 days
,1,38.46,3.03,,,Neptune-sized,30-100 days
,1,2.67,117.8,,,Super-Jupiter,<3 days
,1,25.04,283.23,,,Super-Jupiter,10-30 days
,1,7.98,121.71,,,Super-Jupiter,3-10 days
,1,1.22,364.61,,,Super-Jupiter,<3 days
,1,1.76,1047.7,,,Super-Jupiter,<3 days
,1,87.37,2.29,,,Neptune-sized,30-100 days
,1,1.24,6449.72,,,Super-Jupiter,<3 days
,1,26.34,198.99,,,Super-Jupiter,10-30 days
